region,term,stem,count
,terrorist,terrorist,1019
,islamic,islam,66
,isis,isi,59
,trump,trump,52
,united,unit,46
,obama,obama,43
Europe,paris,pari,43
North America,american,american,41
Middle East & North Africa,syria,syria,40
,muslims,muslim,40
Middle East & North Africa,turkey,turkey,40
Europe,brussels,brussel,36
,terrorism,terror,33
,victims,victim,30
Europe,france,franc,29
,threats,threat,28
,clinton,clinton,26
Middle East & North Africa,syrian,syrian,25
,alleged,alleg,25
,organisation,organis,25
North America,washington,washington,24
,fbi,fbi,24
,investigators,investig,24
,intelligence,intellig,22
,targets,target,22
Middle East & North Africa,iraq,iraq,22
Europe,french,french,20
Europe,belgium,belgium,20
,recruits,recruit,19
,airport,airport,18
Europe,europe,europ,18
,bombings,bomb,18
,extremist,extremist,18
,linked,link,18
,donald,donald,18
,radical,radic,18
,ban,ban,17
,minister,minist,16
,committing,commit,16
,explosive,explos,16
,weapons,weapon,16
Middle East & North Africa,iran,iran,16
Middle East & North Africa,saudi,saudi,15
,republican,republican,15
,global,global,15
,designated,design,15
,ap,ap,15
South Asia,pakistan,pakistan,14
,crimes,crime,14
,suicide,suicid,14
,militants,milit,14
,plots,plot,14
Middle East & North Africa,ankara,ankara,14
,fighters,fighter,14
,murders,murder,14
,refugee,refuge,13
,army,armi,13
,kurdish,kurdish,13
,campaign,campaign,13
North America,orlando,orlando,13
,facebook,facebook,13
Europe,russia,russia,13
,criminal,crimin,13
Middle East & North Africa,turkish,turkish,13
North America,america,america,12
,qaeda,qaeda,12
,prosecutors,prosecutor,12
,leader,leader,12
,armed,arm,12
Europe,germany,germani,12
-,arabia,arabia,12
,erdogan,erdogan,12
,media,media,12
,hillary,hillari,12
Middle East & North Africa,libya,libya,12
,ties,tie,11
,nations,nation,11
,involvement,involv,11
,disrupt,disrupt,11
North America,bernardino,bernardino,11
,networks,network,11
,nuclear,nuclear,11
,online,onlin,11
,san,san,11
,isil,isil,11
Middle East & North Africa,benghazi,benghazi,11
,ministry,ministri,10
,raid,raid,10
,violence,violenc,10
,aftermath,aftermath,10
South Asia,afghanistan,afghanistan,10
,barack,barack,10
,twitter,twitter,10
,attackers,attack,10
,democratic,democrat,10
,pkk,pkk,9
,spokesman,spokesman,9
,killings,kill,9
,mateen,mateen,9
Europe,uk,uk,9
,convicted,convict,9
,election,elect,9
,tuesday's,tuesday,9
,iphone,iphon,9
Europe,british,british,9
Middle East & North Africa,iranian,iranian,9
,nightclub,nightclub,8
,mohamed,moham,8
,executed,execut,8
,accusing,accus,8
,shooter,shooter,8
,presidential,presidenti,8
Europe,london,london,8
,children,children,8
Europe,european,european,8
,bush,bush,8
,internet,internet,7
,soldiers,soldier,7
,stabbing,stab,7
,reuters,reuter,7
,congress,congress,7
,traveling,travel,7
,tayyip,tayyip,7
,celebrate,celebr,7
,surveillance,surveil,7
,incidents,incid,7
,homeland,homeland,7
,ideology,ideolog,7
,johnson,johnson,7
,jihadist,jihadist,7
Middle East & North Africa,arab,arab,7
Europe,berlin,berlin,7
,laden,laden,7
,affiliation,affili,7
,coordinated,coordin,7
,immigrants,immigr,7
,bin,bin,7
,george,georg,7
