term,stem,count,sample_size,ratio
"economy","economi",2071,2000,1.0355
"brexit","brexit",443,2000,0.2215
"uk","uk",397,2000,0.1985
"britain's","britain",266,2000,0.133
"eu","eu",240,2000,0.12
"british","british",161,2000,0.0805
"economic","econom",128,2000,0.064
"european","european",120,2000,0.06
"global","global",103,2000,0.0515
"minister","minist",95,2000,0.0475
"london","london",84,2000,0.042
"inflation","inflat",78,2000,0.039
"europe","europ",75,2000,0.0375
"sector","sector",72,2000,0.036
"uncertainty","uncertainti",66,2000,0.033
"election","elect",65,2000,0.0325
"forecast","forecast",59,2000,0.0295
"tax","tax",55,2000,0.0275
"hammond","hammond",53,2000,0.0265
"england","england",50,2000,0.025
"immigration","immigr",49,2000,0.0245
"economists","economist",48,2000,0.024
"boost","boost",46,2000,0.023
"slowing","slow",44,2000,0.022
"referendum","referendum",44,2000,0.022
"world's","world",42,2000,0.021
"reuters","reuter",41,2000,0.0205
"dialogos","dialogo",39,2000,0.0195
"crisis","crisi",38,2000,0.019
"theresa","theresa",34,2000,0.017
"chancellor","chancellor",33,2000,0.0165
"greek","greek",32,2000,0.016
"france","franc",31,2000,0.0155
"investors","investor",31,2000,0.0155
"eurozone","eurozon",31,2000,0.0155
"greece","greec",30,2000,0.015
"corbyn","corbyn",30,2000,0.015
"predicted","predict",30,2000,0.015
"euro","euro",30,2000,0.015
"gdp","gdp",29,2000,0.0145
"exports","export",29,2000,0.0145
"talks","talk",28,2000,0.014
"germany","germani",27,2000,0.0135
"german","german",27,2000,0.0135
"tory","tori",27,2000,0.0135
"carney","carney",26,2000,0.013
"deliver","deliv",26,2000,0.013
"philip","philip",26,2000,0.013
"sterling","sterl",26,2000,0.013
"campaign","campaign",26,2000,0.013
"conservative","conserv",25,2000,0.0125
"debt","debt",25,2000,0.0125
"macron","macron",25,2000,0.0125
"country's","countri",24,2000,0.012
"polls","poll",24,2000,0.012
"china","china",24,2000,0.012
"scotland","scotland",24,2000,0.012
"prosperity","prosper",24,2000,0.012
"united","unit",23,2000,0.0115
"post-brexit","post-brexit",23,2000,0.0115
"borrowing","borrow",23,2000,0.0115
"strength","strength",23,2000,0.0115
