term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"economic","econom",7925,10000,0.7925,-0.778050759164,0.922760722468
"economist","economist",1670,10000,0.167,-0.978227906931,1.13520973258
"brexit","brexit",1634,10000,0.1634,,
"uk","uk",1351,10000,0.1351,2.0791805069,0.177248060391
"eu","eu",1248,10000,0.1248,2.0700017422,0.708949392237
"economies","economi",1195,10000,0.1195,-0.676852725328,1.66787351251
"britain","britain",969,10000,0.0969,1.75526437826,0.682376792843
"european","european",832,10000,0.0832,1.88524344863,0.413688610578
"london","london",403,10000,0.0403,2.17977656579,0.119480963668
"forecasts","forecast",402,10000,0.0402,-0.700263968011,0.349240604513
"global","global",363,10000,0.0363,-0.438519874426,0.270893903923
"british","british",353,10000,0.0353,2.01502425263,0.215918733424
"uncertainty","uncertainti",341,10000,0.0341,-0.937664824629,0.160705917976
"europe","europ",334,10000,0.0334,2.11426080142,0.569765382307
"minister","minist",314,10000,0.0314,-0.464248384752,0.272462994747
"inflation","inflat",305,10000,0.0305,-0.93439262203,2.03914792832
"reuters","reuter",297,10000,0.0297,1.10484635175,0.215846321508
"trump","trump",255,10000,0.0255,-0.287921843811,-0.621466625759
"tax","tax",243,10000,0.0243,-0.591429284854,0.59599559065
"election","elect",243,10000,0.0243,-0.553973280056,0.373874646092
"crisis","crisi",234,10000,0.0234,-0.736567650045,0.880870837109
"poll","poll",225,10000,0.0225,-0.644108947636,-0.0730277153896
"sector","sector",207,10000,0.0207,-0.612817460452,0.77065381563
"england","england",202,10000,0.0202,2.26929141979,0.387877953674
"predicted","predict",195,10000,0.0195,-0.677606730041,-0.515241143993
"hammond","hammond",183,10000,0.0183,0.74637233573,-0.455216251124
"euro","euro",183,10000,0.0183,-0.167071756707,1.39687151805
"ireland","ireland",182,10000,0.0182,2.02299873021,0.298628784205
"immigration","immigr",168,10000,0.0168,-0.309879100558,0.619867862149
"united","unit",164,10000,0.0164,-0.228600047401,-0.116757975299
"conservative","conserv",160,10000,0.016,-0.59128933064,0.0414816821453
"germany","germani",160,10000,0.016,2.08894447718,0.44657441698
"agreement","agreement",153,10000,0.0153,-0.721980911646,-0.415134624671
"tory","tori",150,10000,0.015,1.27310667791,0.0790192913174
"referendum","referendum",142,10000,0.0142,-0.559156072047,0.357672909281
"investors","investor",138,10000,0.0138,-0.875030633854,0.610484439505
"talks","talk",131,10000,0.0131,-0.633917210171,-0.342674288347
"institute","institut",130,10000,0.013,-0.444915908708,-0.194286343712
"china","china",130,10000,0.013,0.778453314017,0.154920427009
"monetary","monetari",130,10000,0.013,-0.390172926796,0.768775255659
"france","franc",130,10000,0.013,2.08441381453,0.12348775768
"nations","nation",129,10000,0.0129,-0.339713635753,0.862636654366
"theresa","theresa",128,10000,0.0128,0.611317162833,-0.448962082342
"german","german",126,10000,0.0126,2.05272356144,-0.0425304258741
"corbyn","corbyn",125,10000,0.0125,,
"chancellor","chancellor",124,10000,0.0124,-0.549783898616,0.350021708675
"independent","independ",123,10000,0.0123,-0.514812392272,-0.426397538534
