term,stem,count,sample_size,ratio
"immigrants","immigr",1810,2000,0.905
"anti-immigrant","anti-immigr",345,2000,0.1725
"eu","eu",274,2000,0.137
"uk","uk",199,2000,0.0995
"brexit","brexit",166,2000,0.083
"illegal","illeg",165,2000,0.0825
"trump","trump",132,2000,0.066
"britain","britain",127,2000,0.0635
"european","european",120,2000,0.06
"british","british",104,2000,0.052
"muslim","muslim",83,2000,0.0415
"campaign","campaign",77,2000,0.0385
"economic","econom",76,2000,0.038
"europe","europ",74,2000,0.037
"election","elect",68,2000,0.034
"pen","pen",62,2000,0.031
"le","le",62,2000,0.031
"refugees","refuge",61,2000,0.0305
"referendum","referendum",61,2000,0.0305
"nationals","nation",60,2000,0.03
"france","franc",60,2000,0.03
"germany","germani",59,2000,0.0295
"american","american",52,2000,0.026
"minister","minist",51,2000,0.0255
"far-right","far-right",50,2000,0.025
"undocumented","undocu",48,2000,0.024
"dutch","dutch",47,2000,0.0235
"netherlands","netherland",47,2000,0.0235
"united","unit",47,2000,0.0235
"london","london",46,2000,0.023
"french","french",46,2000,0.023
"children","children",45,2000,0.0225
"migrants","migrant",45,2000,0.0225
"borders","border",45,2000,0.0225
"wilders","wilder",44,2000,0.022
"leader","leader",44,2000,0.022
"rhetoric","rhetor",40,2000,0.02
"economy","economi",39,2000,0.0195
"america","america",39,2000,0.0195
"migration","migrat",39,2000,0.0195
"freedom","freedom",37,2000,0.0185
"education","educ",37,2000,0.0185
"german","german",36,2000,0.018
"populist","populist",35,2000,0.0175
"democrats","democrat",35,2000,0.0175
"merkel","merkel",34,2000,0.017
"crime","crime",34,2000,0.017
"polls","poll",30,2000,0.015
"ban","ban",29,2000,0.0145
"conservative","conserv",29,2000,0.0145
"crisis","crisi",29,2000,0.0145
"nationalist","nationalist",29,2000,0.0145
"values","valu",28,2000,0.014
"marine","marin",28,2000,0.014
"deportation","deport",28,2000,0.014
"donald","donald",27,2000,0.0135
"independence","independ",27,2000,0.0135
"media","media",25,2000,0.0125
"hostile","hostil",25,2000,0.0125
"native","nativ",24,2000,0.012
"troublesome","troublesom",24,2000,0.012
"racist","racist",24,2000,0.012
"perceived","perceiv",23,2000,0.0115
"students","student",23,2000,0.0115
"predicted","predict",23,2000,0.0115
"populism","popul",22,2000,0.011
"indian","indian",22,2000,0.011
"criminals","crimin",22,2000,0.011
"5,000","5,000",22,2000,0.011
"theresa","theresa",22,2000,0.011
"bloody","bloodi",22,2000,0.011
"macron","macron",21,2000,0.0105
"supporters","support",21,2000,0.0105
"farage","farag",21,2000,0.0105
"anti-muslim","anti-muslim",21,2000,0.0105
"irish","irish",21,2000,0.0105
"ukip","ukip",21,2000,0.0105
"parliament","parliament",21,2000,0.0105
"accidentally","accident",21,2000,0.0105
"narcissism","narciss",21,2000,0.0105
"terrorists","terrorist",21,2000,0.0105
"authoritarianism","authoritarian",20,2000,0.01
"ireland","ireland",20,2000,0.01
"david","david",20,2000,0.01
"visa","visa",20,2000,0.01
"afd","afd",19,2000,0.0095
"integrate","integr",19,2000,0.0095
"eastern","eastern",19,2000,0.0095
"surge","surg",19,2000,0.0095
"english","english",19,2000,0.0095
"anti-eu","anti-eu",19,2000,0.0095
"ethnic","ethnic",19,2000,0.0095
"turkey","turkey",19,2000,0.0095
"nhs","nhs",19,2000,0.0095
"taxes","tax",19,2000,0.0095
"country's","countri",19,2000,0.0095
"welfare","welfar",19,2000,0.0095
"facebook","facebook",19,2000,0.0095
"african","african",18,2000,0.009
"dominance","domin",18,2000,0.009
"orientation","orient",17,2000,0.0085
"minorities","minor",17,2000,0.0085
"elite","elit",17,2000,0.0085
"non-eu","non-eu",16,2000,0.008
"western","western",16,2000,0.008
"agenda","agenda",16,2000,0.008
"foreigners","foreign",16,2000,0.008
"england","england",16,2000,0.008
"predictors","predictor",15,2000,0.0075
"prejudice","prejudic",15,2000,0.0075
"employers","employ",15,2000,0.0075
"brussels","brussel",15,2000,0.0075
"anti","anti",15,2000,0.0075
"asylum","asylum",15,2000,0.0075
"rutte","rutt",15,2000,0.0075
"opinion","opinion",15,2000,0.0075
"citizenship","citizenship",15,2000,0.0075
"right-wing","right-w",15,2000,0.0075
"arrivals","arriv",15,2000,0.0075
"mexico","mexico",15,2000,0.0075
"victory","victori",14,2000,0.007
"allegedly","alleg",14,2000,0.007
"presidential","presidenti",14,2000,0.007
"sector","sector",14,2000,0.007
"mexican","mexican",14,2000,0.007
"terrorism","terror",14,2000,0.007
"stinking","stink",14,2000,0.007
"pledge","pledg",14,2000,0.007
"racism","racism",14,2000,0.007
"corbyn","corbyn",14,2000,0.007
"contribution","contribut",13,2000,0.0065
"geert","geert",13,2000,0.0065
"philipps","philipp",13,2000,0.0065
"resentment","resent",13,2000,0.0065
"backlash","backlash",13,2000,0.0065
"miller","miller",13,2000,0.0065
"unskilled","unskil",13,2000,0.0065
"residency","resid",13,2000,0.0065
"year's","year",13,2000,0.0065
"influx","influx",13,2000,0.0065
"jungles","jungl",13,2000,0.0065
"arguing","argu",12,2000,0.006
"fuels","fuel",12,2000,0.006
"bundestag","bundestag",12,2000,0.006
"abuse","abus",12,2000,0.006
"islamic","islam",12,2000,0.006
"diversity","divers",12,2000,0.006
"tory","tori",12,2000,0.006
"calling","call",12,2000,0.006
"anti-islam","anti-islam",12,2000,0.006
"restricting","restrict",12,2000,0.006
"post-brexit","post-brexit",12,2000,0.006
"university","univers",12,2000,0.006
"tower","tower",12,2000,0.006
"commonwealth","commonwealth",11,2000,0.0055
"imported","import",11,2000,0.0055
"asian","asian",11,2000,0.0055
"undermined","undermin",11,2000,0.0055
"coalition","coalit",11,2000,0.0055
"presidency","presid",11,2000,0.0055
"mosques","mosqu",11,2000,0.0055
"pro-immigrant","pro-immigr",11,2000,0.0055
"commitment","commit",11,2000,0.0055
"russia","russia",11,2000,0.0055
"blamed","blame",11,2000,0.0055
"first-generation","first-gener",11,2000,0.0055
"government's","govern",11,2000,0.0055
"flood","flood",11,2000,0.0055
"embrace","embrac",11,2000,0.0055
"northern","northern",11,2000,0.0055
"mps","mps",11,2000,0.0055
"refuse","refus",11,2000,0.0055
"lord","lord",11,2000,0.0055
"emmanuel","emmanuel",11,2000,0.0055
"australia","australia",11,2000,0.0055
"polish","polish",10,2000,0.005
"hungary","hungari",10,2000,0.005
"rejection","reject",10,2000,0.005
"progressive","progress",10,2000,0.005
"bloc","bloc",10,2000,0.005
"viscount","viscount",10,2000,0.005
"hire","hire",10,2000,0.005
"positioned","posit",10,2000,0.005
"seeker","seeker",10,2000,0.005
"detention","detent",10,2000,0.005
"jeremy","jeremi",10,2000,0.005
"brits","brit",10,2000,0.005
"assimilate","assimil",10,2000,0.005
"xenophobic","xenophob",10,2000,0.005
"nigel","nigel",10,2000,0.005
"may's","may",10,2000,0.005
"globalization","global",10,2000,0.005
"britons","briton",10,2000,0.005
"scientific","scientif",10,2000,0.005
"photograph","photograph",10,2000,0.005
"euroskeptic","euroskept",10,2000,0.005
"turkish","turkish",10,2000,0.005
"italy","itali",10,2000,0.005
"radical","radic",10,2000,0.005
"protections","protect",9,2000,0.0045
