term,stem,count,sample_size,ratio
"immigrants","immigr",1721,2000,0.8605
"anti-immigrant","anti-immigr",306,2000,0.153
"eu","eu",223,2000,0.1115
"brexit","brexit",187,2000,0.0935
"uk","uk",177,2000,0.0885
"illegal","illeg",128,2000,0.064
"european","european",123,2000,0.0615
"trump","trump",117,2000,0.0585
"britain","britain",115,2000,0.0575
"british","british",109,2000,0.0545
"muslim","muslim",87,2000,0.0435
"europe","europ",76,2000,0.038
"france","franc",68,2000,0.034
"election","elect",68,2000,0.034
"economic","econom",67,2000,0.0335
"campaign","campaign",65,2000,0.0325
"germany","germani",62,2000,0.031
"refugees","refuge",58,2000,0.029
"pen","pen",56,2000,0.028
"le","le",56,2000,0.028
"referendum","referendum",55,2000,0.0275
"nationalism","nation",51,2000,0.0255
"london","london",46,2000,0.023
"american","american",44,2000,0.022
"united","unit",44,2000,0.022
"borders","border",43,2000,0.0215
"german","german",41,2000,0.0205
"populist","populist",40,2000,0.02
"far-right","far-right",38,2000,0.019
"minister","minist",38,2000,0.019
"democratic","democrat",37,2000,0.0185
"undocumented","undocu",37,2000,0.0185
"leader","leader",37,2000,0.0185
"rhetoric","rhetor",36,2000,0.018
"french","french",36,2000,0.018
"economy","economi",36,2000,0.018
"freedom","freedom",35,2000,0.0175
"merkel","merkel",35,2000,0.0175
"children","children",35,2000,0.0175
"migrants","migrant",34,2000,0.017
"netherlands","netherland",34,2000,0.017
"media","media",33,2000,0.0165
"education","educ",33,2000,0.0165
"miller","miller",32,2000,0.016
"dutch","dutch",31,2000,0.0155
"wilders","wilder",31,2000,0.0155
"racist","racist",30,2000,0.015
"america","america",30,2000,0.015
"migration","migrat",29,2000,0.0145
"nationalist","nationalist",29,2000,0.0145
"polls","poll",29,2000,0.0145
"conservative","conserv",29,2000,0.0145
"independence","independ",29,2000,0.0145
"marine","marin",27,2000,0.0135
"crime","crime",26,2000,0.013
"integrate","integr",26,2000,0.013
"troublesome","troublesom",26,2000,0.013
"parliament","parliament",24,2000,0.012
"racism","racism",24,2000,0.012
"deported","deport",24,2000,0.012
"afd","afd",24,2000,0.012
"ukip","ukip",24,2000,0.012
"crisis","crisi",24,2000,0.012
"philipps","philipp",24,2000,0.012
"anti-muslim","anti-muslim",23,2000,0.0115
"values","valu",23,2000,0.0115
"theresa","theresa",23,2000,0.0115
"donald","donald",23,2000,0.0115
"ireland","ireland",22,2000,0.011
"eastern","eastern",22,2000,0.011
"polish","polish",22,2000,0.011
"indian","indian",22,2000,0.011
"taxes","tax",21,2000,0.0105
"native","nativ",21,2000,0.0105
"english","english",21,2000,0.0105
"5,000","5,000",20,2000,0.01
"facebook","facebook",20,2000,0.01
"students","student",20,2000,0.01
"african","african",20,2000,0.01
"hostility","hostil",20,2000,0.01
"asylum","asylum",20,2000,0.01
"visa","visa",19,2000,0.0095
"england","england",19,2000,0.0095
"bloody","bloodi",19,2000,0.0095
"ban","ban",19,2000,0.0095
"arrivals","arriv",19,2000,0.0095
"davids","david",19,2000,0.0095
"irish","irish",19,2000,0.0095
"ethnic","ethnic",19,2000,0.0095
"welfare","welfar",19,2000,0.0095
"farage","farag",18,2000,0.009
"minorities","minor",18,2000,0.009
"terrorist","terrorist",18,2000,0.009
"tories","tori",18,2000,0.009
"western","western",17,2000,0.0085
"presidential","presidenti",17,2000,0.0085
"sectors","sector",17,2000,0.0085
"accidentally","accident",17,2000,0.0085
"russia","russia",17,2000,0.0085
"anti","anti",17,2000,0.0085
"anti-eu","anti-eu",16,2000,0.008
"turkey","turkey",16,2000,0.008
"influx","influx",16,2000,0.008
"viscount","viscount",16,2000,0.008
"country's","countri",16,2000,0.008
"asian","asian",16,2000,0.008
"turkish","turkish",16,2000,0.008
