term,stem,count,sample_size,ratio
"immigration","immigr",2058,2000,1.029
"eu","eu",415,2000,0.2075
"brexit","brexit",342,2000,0.171
"uk","uk",265,2000,0.1325
"britain","britain",200,2000,0.1
"european","european",132,2000,0.066
"minister","minist",108,2000,0.054
"campaign","campaign",99,2000,0.0495
"trump","trump",94,2000,0.047
"british","british",90,2000,0.045
"economy","economi",86,2000,0.043
"economic","econom",81,2000,0.0405
"referendum","referendum",76,2000,0.038
"theresa","theresa",73,2000,0.0365
"anti-immigration","anti-immigr",72,2000,0.036
"europe","europ",66,2000,0.033
"conservative","conserv",62,2000,0.031
"election","elect",61,2000,0.0305
"post-brexit","post-brexit",61,2000,0.0305
"migration","migrat",58,2000,0.029
"nationals","nation",57,2000,0.0285
"may's","may",46,2000,0.023
"borders","border",42,2000,0.021
"polls","poll",41,2000,0.0205
"migrants","migrant",41,2000,0.0205
"tory","tori",40,2000,0.02
"ukip","ukip",39,2000,0.0195
"tens","ten",37,2000,0.0185
"freedom","freedom",36,2000,0.018
"customs","custom",35,2000,0.0175
"london","london",34,2000,0.017
"students","student",34,2000,0.017
"curb","curb",34,2000,0.017
"leader","leader",31,2000,0.0155
"targets","target",29,2000,0.0145
"france","franc",29,2000,0.0145
"employers","employ",29,2000,0.0145
"government's","govern",28,2000,0.014
"leaked","leak",28,2000,0.014
"david","david",28,2000,0.014
"pen","pen",27,2000,0.0135
"le","le",27,2000,0.0135
"muslim","muslim",26,2000,0.013
"pledge","pledg",26,2000,0.013
"nhs","nhs",26,2000,0.013
"corbyn","corbyn",26,2000,0.013
"illegal","illeg",25,2000,0.0125
"restricting","restrict",25,2000,0.0125
"cameron","cameron",25,2000,0.0125
"priority","prioriti",24,2000,0.012
"education","educ",24,2000,0.012
"germany","germani",24,2000,0.012
"farage","farag",24,2000,0.012
"negotiating","negoti",24,2000,0.012
"refugees","refuge",24,2000,0.012
"donald","donald",23,2000,0.0115
"crisis","crisi",23,2000,0.0115
"ireland","ireland",22,2000,0.011
"centre","centr",22,2000,0.011
"rudd","rudd",22,2000,0.011
"united","unit",22,2000,0.011
"parliament","parliament",21,2000,0.0105
"manifesto","manifesto",21,2000,0.0105
"rhetoric","rhetor",21,2000,0.0105
"ensure","ensur",21,2000,0.0105
"davis","davi",21,2000,0.0105
"exit","exit",20,2000,0.01
"commit","commit",20,2000,0.01
"sector","sector",20,2000,0.01
"american","american",20,2000,0.01
"crime","crime",19,2000,0.0095
"chancellor","chancellor",19,2000,0.0095
"mps","mps",18,2000,0.009
"merkel","merkel",18,2000,0.009
"independent","independ",18,2000,0.009
"favour","favour",18,2000,0.009
"french","french",18,2000,0.009
"asylum","asylum",18,2000,0.009
"irish","irish",18,2000,0.009
"supporters","support",18,2000,0.009
"england","england",17,2000,0.0085
"visas","visa",17,2000,0.0085
"ban","ban",17,2000,0.0085
"radical","radic",17,2000,0.0085
"media","media",17,2000,0.0085
"populist","populist",16,2000,0.008
"terrorism","terror",16,2000,0.008
"cabinet","cabinet",16,2000,0.008
"focused","focus",16,2000,0.008
"talks","talk",16,2000,0.008
"scottish","scottish",16,2000,0.008
"stance","stanc",16,2000,0.008
"islam","islam",16,2000,0.008
"party's","parti",15,2000,0.0075
