term,stem,count,sample_size,ratio
"immigration","immigr",1964,2000,0.982
"eu","eu",404,2000,0.202
"brexit","brexit",341,2000,0.1705
"uk","uk",277,2000,0.1385
"britain","britain",177,2000,0.0885
"minister","minist",132,2000,0.066
"european","european",130,2000,0.065
"british","british",106,2000,0.053
"economic","econom",91,2000,0.0455
"economy","economi",91,2000,0.0455
"migration","migrat",82,2000,0.041
"anti-immigration","anti-immigr",79,2000,0.0395
"europe","europ",78,2000,0.039
"trump","trump",74,2000,0.037
"campaign","campaign",71,2000,0.0355
"referendum","referendum",64,2000,0.032
"theresa","theresa",63,2000,0.0315
"election","elect",58,2000,0.029
"nationals","nation",55,2000,0.0275
"borders","border",47,2000,0.0235
"customs","custom",43,2000,0.0215
"may's","may",42,2000,0.021
"conservative","conserv",42,2000,0.021
"tory","tori",41,2000,0.0205
"post-brexit","post-brexit",40,2000,0.02
"ukip","ukip",40,2000,0.02
"migrants","migrant",38,2000,0.019
"curbs","curb",35,2000,0.0175
"freedom","freedom",35,2000,0.0175
"david","david",34,2000,0.017
"london","london",33,2000,0.0165
"leader","leader",31,2000,0.0155
"students","student",31,2000,0.0155
"corbyn","corbyn",30,2000,0.015
"pen","pen",30,2000,0.015
"le","le",30,2000,0.015
"government's","govern",29,2000,0.0145
"illegal","illeg",28,2000,0.014
"ireland","ireland",28,2000,0.014
"sectors","sector",28,2000,0.014
"supporters","support",27,2000,0.0135
"tens","ten",27,2000,0.0135
"globalization","global",26,2000,0.013
"targets","target",25,2000,0.0125
"lewis","lewi",25,2000,0.0125
"bloc","bloc",24,2000,0.012
"nhs","nhs",23,2000,0.0115
"pledge","pledg",23,2000,0.0115
"deliver","deliv",23,2000,0.0115
"visa","visa",22,2000,0.011
"populist","populist",22,2000,0.011
"rudd","rudd",22,2000,0.011
"muslim","muslim",22,2000,0.011
"parliament","parliament",22,2000,0.011
"asylum","asylum",22,2000,0.011
"hammond","hammond",22,2000,0.011
"leaked","leak",22,2000,0.011
"poll","poll",21,2000,0.0105
"restrict","restrict",21,2000,0.0105
"refugees","refuge",21,2000,0.0105
"american","american",21,2000,0.0105
"brandon","brandon",21,2000,0.0105
"merkel","merkel",21,2000,0.0105
"farage","farag",21,2000,0.0105
"manifesto","manifesto",21,2000,0.0105
"education","educ",20,2000,0.01
"democratic","democrat",20,2000,0.01
