term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"immigration","immigr",9418,10000,0.9418,-0.417157700564,1.70363661976
"eu","eu",1772,10000,0.1772,2.0584393447,0.467878291642
"brexit","brexit",1708,10000,0.1708,,
"uk","uk",1142,10000,0.1142,2.15145693533,-0.174259559942
"britain","britain",944,10000,0.0944,1.83801537629,0.568940098187
"anti-immigrant","anti-immigr",641,10000,0.0641,,
"european","european",626,10000,0.0626,2.02060294745,0.150649619623
"minister","minist",570,10000,0.057,-0.542399417716,0.540264586286
"trump","trump",513,10000,0.0513,-0.283232304116,-0.638823601398
"british","british",470,10000,0.047,2.08359485416,0.0672911224826
"election","elect",374,10000,0.0374,-0.661290354211,0.930102332346
"economic","econom",357,10000,0.0357,-0.579865841875,0.458557294166
"campaign","campaign",356,10000,0.0356,-0.64801325022,-0.0656033232801
"economy","economi",345,10000,0.0345,-0.6028019266,0.617654021533
"europe","europ",336,10000,0.0336,2.2603233698,0.0749573380686
"theresa","theresa",305,10000,0.0305,0.590472767256,-0.270806822637
"referendum","referendum",296,10000,0.0296,-0.676953185009,0.880997236377
"migration","migrat",293,10000,0.0293,-0.191893215908,0.461196921427
"conservative","conserv",261,10000,0.0261,-0.59412406627,0.434868347502
"illegal","illeg",254,10000,0.0254,-0.367079988792,-0.029436018519
"nationals","nation",249,10000,0.0249,-0.520657098305,0.785417683938
"migrants","migrant",241,10000,0.0241,-0.495771926773,1.74561362342
"muslim","muslim",233,10000,0.0233,1.19124033452,1.04881425098
"le","le",231,10000,0.0231,1.40059379141,-0.599066142242
"pen","pen",230,10000,0.023,0.0940319087841,-0.352538001668
"france","franc",220,10000,0.022,2.15613976269,-0.0297616361618
"post-brexit","post-brexit",214,10000,0.0214,,
"borders","border",213,10000,0.0213,-0.37721710243,0.568311217606
"tory","tori",212,10000,0.0212,1.21297336222,0.336502671101
"customs","custom",209,10000,0.0209,-0.1826363696,0.625609985417
"london","london",204,10000,0.0204,2.26745004597,-0.137139911684
"leader","leader",196,10000,0.0196,-0.531911280856,-0.235963409824
"may's","may",183,10000,0.0183,0.533753824827,-0.221252006774
"freedom","freedom",176,10000,0.0176,-0.254992345528,0.381123149279
"students","student",175,10000,0.0175,-0.605228197026,0.358472211109
"refugees","refuge",173,10000,0.0173,-0.497283977179,1.44830026294
"ukip","ukip",163,10000,0.0163,,
"tens","ten",157,10000,0.0157,-0.45665059009,-0.1927396432
"french","french",155,10000,0.0155,1.82395642219,-0.134533127731
"germany","germani",155,10000,0.0155,2.17154138693,0.147822239328
"poll","poll",147,10000,0.0147,-0.629515725361,0.321064931311
"pledge","pledg",146,10000,0.0146,-0.577645570823,-0.190357079222
"far-right","far-right",141,10000,0.0141,,
"david","david",136,10000,0.0136,2.28791032343,-0.496124998937
"corbyn","corbyn",130,10000,0.013,,
"united","unit",128,10000,0.0128,-0.233670712476,0.182360054976
"wilders","wilder",128,10000,0.0128,,
"parliament","parliament",123,10000,0.0123,-0.348593281829,1.12685174252
"leaked","leak",122,10000,0.0122,-0.204884075416,-0.709267385037
"ireland","ireland",118,10000,0.0118,2.10551153384,-0.0271124550485
"merkel","merkel",118,10000,0.0118,,
"populist","populist",115,10000,0.0115,-0.718695838153,0.860518787264
"democrats","democrat",113,10000,0.0113,0.348412140051,1.27154812506
"bloc","bloc",112,10000,0.0112,-0.464942198573,0.939950415532
"manifesto","manifesto",111,10000,0.0111,-0.457949637102,0.458225903305
"visas","visa",110,10000,0.011,-0.462716316895,1.29530501941
"government's","govern",110,10000,0.011,-0.513060353917,0.49623741661
"ban","ban",109,10000,0.0109,-0.596987286782,-0.427910068934
"nhs","nhs",109,10000,0.0109,0.866704189694,-0.0294935974011
"supporters","support",109,10000,0.0109,-0.602258772738,0.0928036620101
"german","german",106,10000,0.0106,2.15173510941,-0.251569142691
"rhetoric","rhetor",106,10000,0.0106,-0.745553984555,0.791640772765
"restricting","restrict",105,10000,0.0105,-0.481287778347,-0.668871441471
"curbs","curb",104,10000,0.0104,-0.693927937509,-0.27367388919
"global","global",104,10000,0.0104,-0.217344810926,-0.28996329225
"terrorism","terror",104,10000,0.0104,-0.460421892859,1.10173740201
"crisis","crisi",104,10000,0.0104,-0.589237602677,0.351131207721
"donald","donald",100,10000,0.01,1.37186844273,-0.231220083171
"american","american",100,10000,0.01,1.93767651077,0.10204077547
"sector","sector",100,10000,0.01,-0.392241655608,0.152134999143
"lewis","lewi",98,10000,0.0098,2.04243446466,-0.450586113004
"targets","target",95,10000,0.0095,-0.546456095297,-0.644027775608
"macron","macron",95,10000,0.0095,0.260766505571,-0.16693970518
"rudd","rudd",95,10000,0.0095,0.886819586871,0.171698338186
"islam","islam",94,10000,0.0094,1.70226402369,1.01829715002
"hammond","hammond",94,10000,0.0094,0.767962512023,-0.394189376452
"checks","check",94,10000,0.0094,-0.479226003758,-0.138489245942
"independent","independ",93,10000,0.0093,-0.465736291515,-0.218997724387
"brussels","brussel",91,10000,0.0091,0.820675895256,0.0401071500091
"employers","employ",90,10000,0.009,-0.549593289621,0.50522378096
"party's","parti",89,10000,0.0089,0.578256581025,0.584161546019
"dutch","dutch",89,10000,0.0089,1.71178945205,-0.0873046485533
"cabinet","cabinet",88,10000,0.0088,-0.300622374688,0.272721559505
"farage","farag",86,10000,0.0086,,
"country's","countri",86,10000,0.0086,0.421217041976,0.189346421532
"stance","stanc",86,10000,0.0086,-0.613315663924,-0.193072251231
