term,stem,count,sample_size,ratio
"brexit","brexit",217,2000,0.1085
"eu","eu",182,2000,0.091
"uk","uk",134,2000,0.067
"britain","britain",115,2000,0.0575
"election","elect",70,2000,0.035
"minister","minist",66,2000,0.033
"european","european",59,2000,0.0295
"theresa","theresa",57,2000,0.0285
"british","british",55,2000,0.0275
"london","london",52,2000,0.026
"conservative","conserv",49,2000,0.0245
"corbyn","corbyn",48,2000,0.024
"tory","tori",47,2000,0.0235
"trump","trump",42,2000,0.021
"economic","econom",35,2000,0.0175
"negotiators","negoti",35,2000,0.0175
"ireland","ireland",31,2000,0.0155
"economy","economi",30,2000,0.015
"europe","europ",30,2000,0.015
"talks","talk",29,2000,0.0145
"referendum","referendum",27,2000,0.0135
"jeremy","jeremi",27,2000,0.0135
"poll","poll",27,2000,0.0135
"leader","leader",26,2000,0.013
"mps","mps",26,2000,0.013
"agreement","agreement",25,2000,0.0125
"campaign","campaign",25,2000,0.0125
"parliament","parliament",24,2000,0.012
"may's","may",23,2000,0.0115
"northern","northern",23,2000,0.0115
"scotland","scotland",20,2000,0.01
"crisis","crisi",19,2000,0.0095
"exit","exit",18,2000,0.009
"euro","euro",18,2000,0.009
"brussels","brussel",18,2000,0.009
"irish","irish",17,2000,0.0085
"united","unit",17,2000,0.0085
"german","german",17,2000,0.0085
"johnson","johnson",17,2000,0.0085
"media","media",17,2000,0.0085
"nations","nation",17,2000,0.0085
"david","david",16,2000,0.008
"england","england",16,2000,0.008
"cet","cet",16,2000,0.008
"uncertainty","uncertainti",16,2000,0.008
"davis","davi",16,2000,0.008
"deliver","deliv",15,2000,0.0075
"customs","custom",15,2000,0.0075
"regulation","regul",15,2000,0.0075
"independence","independ",15,2000,0.0075
"reporting","report",15,2000,0.0075
"barnier","barnier",14,2000,0.007
"immigration","immigr",14,2000,0.007
"france","franc",14,2000,0.007
"hammond","hammond",14,2000,0.007
"photo","photo",14,2000,0.007
"supporters","support",13,2000,0.0065
"dup","dup",13,2000,0.0065
"chancellor","chancellor",13,2000,0.0065
"seats","seat",13,2000,0.0065
"sector","sector",13,2000,0.0065
"reuters","reuter",13,2000,0.0065
"germany","germani",13,2000,0.0065
"john","john",12,2000,0.006
"university","univers",12,2000,0.006
"global","global",12,2000,0.006
"getty","getti",12,2000,0.006
"predicted","predict",12,2000,0.006
"donald","donald",12,2000,0.006
"education","educ",12,2000,0.006
"labour's","labour",12,2000,0.006
"china","china",12,2000,0.006
"investors","investor",12,2000,0.006
"cabinet","cabinet",12,2000,0.006
"opinion","opinion",12,2000,0.006
"mp","mp",12,2000,0.006
"democrats","democrat",11,2000,0.0055
"dem","dem",11,2000,0.0055
"cameron","cameron",11,2000,0.0055
"sterling","sterl",11,2000,0.0055
"bbc","bbc",11,2000,0.0055
"french","french",11,2000,0.0055
"resign","resign",11,2000,0.0055
"britons","briton",10,2000,0.005
"cooperation","cooper",10,2000,0.005
"migration","migrat",10,2000,0.005
"bloc","bloc",10,2000,0.005
"coalition","coalit",10,2000,0.005
"post-brexit","post-brexit",10,2000,0.005
"government's","govern",10,2000,0.005
"westminster","westminst",10,2000,0.005
"journalists","journalist",10,2000,0.005
"boost","boost",10,2000,0.005
"philip","philip",10,2000,0.005
"lib","lib",10,2000,0.005
"republican","republican",10,2000,0.005
"commons","common",9,2000,0.0045
"tax","tax",9,2000,0.0045
"commission","commiss",9,2000,0.0045
"updated","updat",9,2000,0.0045
"tony","toni",9,2000,0.0045
"scottish","scottish",9,2000,0.0045
"manifesto","manifesto",9,2000,0.0045
"russia","russia",9,2000,0.0045
"tariffs","tariff",9,2000,0.0045
"triggering","trigger",9,2000,0.0045
"ensure","ensur",9,2000,0.0045
"macron","macron",9,2000,0.0045
"forecast","forecast",9,2000,0.0045
"boris","bori",9,2000,0.0045
"pa","pa",9,2000,0.0045
"treaty","treati",9,2000,0.0045
"juncker","juncker",8,2000,0.004
"editing","edit",8,2000,0.004
"lords","lord",8,2000,0.004
"assets","asset",8,2000,0.004
"institute","institut",8,2000,0.004
"snp","snp",8,2000,0.004
"embarrassing","embarrass",8,2000,0.004
"english","english",8,2000,0.004
"william","william",8,2000,0.004
"blair","blair",8,2000,0.004
"exports","export",8,2000,0.004
"imported","import",8,2000,0.004
"merkel","merkel",8,2000,0.004
"americans","american",8,2000,0.004
"funding","fund",8,2000,0.004
"inflation","inflat",8,2000,0.004
"party's","parti",8,2000,0.004
"withdrawal","withdraw",7,2000,0.0035
"rally","ralli",7,2000,0.0035
"retail","retail",7,2000,0.0035
"website","websit",7,2000,0.0035
"sinn","sinn",7,2000,0.0035
"farage","farag",7,2000,0.0035
"8/","8/",7,2000,0.0035
"lawmakers","lawmak",7,2000,0.0035
"strengthen","strengthen",7,2000,0.0035
