sentence,bias_composite,norm_figurative_cnt,norm_word_cnt,norm_self_refer_cnt,norm_attribution_cnt,norm_certainty,norm_doubt_cnt,norm_quote_length,norm_vader_senti_abs,norm_value_cnt,norm_partisan_cnt,norm_neg_persp,norm_presup_cnt
Migration figures: Highest number of EU nationals leaving UK in a decade,0.8505853944000001,0.0,1.5029815306111458,0.0,0.0,0.6611693999572,0.0,0.0,0.2139384772948325,5.44461813512171,1.328817885701158,0.0,2.263680894838158
"The number of EU citizens leaving the UK is at its highest level for a decade with 130,000 emigrating in the year to September, figures show.",0.8069553944000001,0.0,1.5029999999846424,0.0,0.0,0.6611693999572,0.0,0.0,0.2139384772948325,8.973026186055224,1.328817885701158,0.0,3.7306689729493128
"But 220,000 EU nationals still moved to Britain over the same period, the Office for National Statistics found.",0.6975544482000001,0.0,1.5029999542186816,0.0,1.931187600189581,0.5233393506219883,0.0,0.0,0.0,0.0,1.328817885701158,0.0,4.433868720479377
"That is 47,000 fewer than the previous year.",0.7886095000000001,0.0,1.501991937507818,0.0,0.0,0.6611693999572,0.0,0.0,0.0,0.0,1.328817885701158,0.0,2.263680894838158
"It means net EU migration - the difference between arrivals and departures - was 90,000, the lowest for five years.",1.0061777404,0.0,1.5029999542186816,0.0,0.0,0.6611693999572,0.0,0.0,1.0459042113883992,8.973026186055224,2.1899639954508014,1.6305801713349393,3.7306689729493128
The figures also show that more British people are emigrating than are returning to live in the UK.,1.0694965,0.0,1.5029999542186816,0.0,0.0,0.6611693999572,0.0,0.0,0.0,10.66436620961845,2.1899639954508014,0.0,3.7306689729493128
"Of those EU nationals arriving in the UK, fewer were coming for ""work-related reasons"", in particular to ""look for work"".",0.8924995,0.0,1.502999997720682,0.0,1.931187600189581,0.6611693999572,0.0,0.7218893776038436,0.0,8.973026186055224,2.1899639954508014,0.0,4.433868720479377
"Nicola White, head of international migration statistics at the ONS, said: ""Brexit could well be a factor in people's decision to move to or from the UK, but people's decision to migrate is complicated and can be influenced by lots of different reasons.""",0.663386603,0.0,1.503,0.0,0.0,0.15342562047074923,2.2081344125355047,0.8509999999999786,0.38918663933656383,10.66436620961845,2.602753803355813,0.0,4.832930139494782
'More students',0.754654,0.0,1.1446760164015142,0.0,1.931187600189581,0.8526061551447182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"By contrast, immigration from countries outside the European Union is going up which means the UK population is continuing to grow at a similar level to early 2014.",0.5454995,0.0,1.5029999999979216,0.0,0.0,0.6611693999572,0.0,0.0,0.0,0.0,2.602753803355813,0.0,2.263680894838158
"Some 285,000 non-EU citizens arrived in the UK in the 12-month period to September, and 80,000 departed.",0.5975884482,0.0,1.5029999831579939,0.0,0.0,0.5233393506219883,0.0,0.0,0.0,0.0,0.0,0.0,2.263680894838158
"This gives a net increase of 205,000, the highest for six years.   ",0.8351943264,0.0,1.5029815306111458,0.0,0.0,0.6611693999572,0.0,0.0,0.8748719247543293,5.44461813512171,0.0,0.0,2.263680894838158
BBC home affairs correspondent Danny Shaw said this was largely driven by more people coming to study in the UK and an uncharacteristic dip in the previous year's figures that may have been corrected.,0.8549954482000001,0.0,1.5029999999999946,0.0,1.931187600189581,0.07679984632780842,3.63912535540343,0.0,0.0,8.973026186055224,2.602753803355813,0.0,4.433868720479377
"He also speculated whether firms were starting to struggle to recruit or retain people from the EU, forcing them to look outside the EU.",0.8069444436000001,0.0,1.5029999998865193,0.0,3.7826145519818963,0.3641574658149479,0.0,0.0,0.8748719247543293,8.973026186055224,1.328817885701158,1.3064220837868048,4.433868720479377
"Overall, net migration is estimated to have fallen by 29,000 to 244,000 in the same period.",0.8854331746000002,0.0,1.5029996617193029,0.0,0.0,0.6611693999572,3.63912535540343,0.0,0.9907152930340036,5.44461813512171,1.328817885701158,1.59840139899232,0.0
"This includes 73,000 British people coming back to the UK and 125,000 Britons leaving.",0.7761635,0.0,1.5029975004267484,0.0,0.0,0.6611693999572,0.0,0.0,0.0,0.0,2.1899639954508014,0.0,3.7306689729493128
"The overall net migration figure is still well short of the government's target to reduce net migration to below 100,000, a pledge made in the 2010, 2015 and 2017 Tory manifestos.",0.7445329864000002,0.0,1.5029999999998966,0.0,3.1827019777391405,0.6611693999572,2.2081344125355047,0.0,0.7527978421346976,5.44461813512171,2.602753803355813,0.0,4.7222891010013885
(does not count reporter analysis section),0.8128675000000001,0.0,1.4955672947911562,0.0,1.931187600189581,0.6611693999572,0.0,0.0,0.0,0.0,0.0,2.99179268781703,2.263680894838158
